loc1,loc2,para1,dow,para2,para3,para4,price
0,01,1,Mon,662,3000.0,3.8,73.49
9,99,1,Thu,340,2760.0,9.2,300.0
0,04,0,Mon,16,2700.0,3.0,130.0
4,40,1,Mon,17,12320.0,6.4,365.0
5,50,1,Thu,610,2117.0,10.8,357.5
0,03,1,Tue,483,1899.0,13.6,550.0
0,09,1,Mon,214,1000.0,3.0,210.0
7,74,1,Wed,452,330.0,3.0,366.67
8,89,1,Tue,130,8000.0,4.5,193.33
1,17,4,Fri,1004,3135.0,13.2,1400.0
3,34,1,Wed,374,24406.0,13.6,510.0
3,30,1,Thu,440,7685.0,13.6,400.0
2,21,1,Wed,659,18000.0,13.6,800.0
5,50,1,Tue,292,3037.0,6.0,400.0
5,59,1,Wed,733,22410.0,13.6,2200.0
3,30,0,Wed,269,3530.0,13.6,360.0
9,99,3,Fri,55,900.0,2.7,180.0
5,59,1,Tue,473,5000.0,5.0,380.0
3,30,1,Tue,269,15000.0,13.6,360.0
2,28,1,Mon,384,4750.0,6.8,250.0
6,64,1,Wed,109,3351.0,5.2,350.0
1,14,1,Thu,448,2620.0,9.2,380.0
4,46,1,Wed,540,4700.0,4.0,300.0
1,19,1,Wed,350,24000.0,13.6,370.0
6,64,1,Tue,109,4100.0,4.8,310.0
1,15,0,Wed,144,5000.0,5.1,216.72
5,50,1,Wed,610,12081.0,13.6,690.0
9,90,1,Wed,414,2356.0,1.6,236.67
6,67,1,Tue,434,6842.0,13.6,500.0
8,85,3,Fri,550,2107.4,8.8,641.88
6,67,1,Thu,620,1369.0,12.8,367.0
2,24,3,Fri,460,15258.9,5.6,295.0
0,01,1,Tue,296,15000.0,13.6,540.0
7,74,1,Mon,236,22000.0,8.8,380.0
1,12,1,Thu,393,25596.0,13.6,550.0
0,01,0,Fri,448,10000.0,13.6,900.0
2,20,1,Fri,509,24000.0,13.6,560.0
0,01,1,Mon,484,4000.0,5.0,395.0
2,23,1,Mon,316,4967.0,2.67,125.0
0,08,1,Wed,127,700.0,2.8,210.0
0,06,1,Mon,564,10000.0,5.5,525.0
2,24,1,Thu,852,7260.0,13.6,960.0
0,09,1,Mon,553,7750.0,5.0,183.93
9,95,1,Thu,316,5813.0,10.8,240.0
3,37,3,Fri,305,23360.0,13.6,400.0
7,77,1,Tue,682,19576.0,11.2,330.0
7,73,2,Sat,523,1025.0,7.0,300.0
8,88,1,Mon,757,3220.0,11.2,880.0
6,66,1,Mon,756,18000.0,13.6,850.0
8,85,1,Wed,339,8060.0,5.6,200.0
3,39,1,Tue,724,24000.0,13.6,880.0
2,28,1,Mon,292,8700.0,11.6,200.0
4,41,3,Fri,603,10000.0,7.0,470.0
6,68,1,Thu,389,1400.0,3.0,300.84
4,47,1,Tue,546,6000.0,4.4,310.0
1,19,0,Wed,182,20000.0,13.6,275.0
0,01,1,Tue,416,5000.0,5.25,375.0
0,06,3,Fri,366,8000.0,4.6,240.0
3,33,3,Fri,385,4000.0,8.0,210.0
7,73,3,Fri,636,24500.0,13.6,650.0
2,21,1,Thu,322,10634.0,13.6,430.0
0,06,1,Wed,392,24000.0,12.0,300.0
3,35,1,Thu,509,9000.0,4.0,400.0
0,01,1,Thu,261,5751.7,13.6,320.0
2,21,1,Wed,492,3318.0,4.3,370.0
7,78,3,Fri,299,4700.0,3.6,200.0
5,54,3,Fri,641,14000.0,13.6,750.0
1,17,3,Fri,160,25200.0,8.0,200.0
7,76,1,Tue,462,1000.0,2.5,183.33
5,51,1,Thu,482,2800.0,3.0,200.0
4,41,3,Fri,575,20797.0,10.0,390.0
7,79,1,Thu,653,11415.0,9.2,745.0
7,76,1,Wed,698,20000.0,13.6,845.0
1,16,0,Fri,88,4900.0,4.0,100.0
0,02,1,Mon,620,14500.0,13.6,800.0
3,37,1,Tue,470,18000.0,13.6,550.0
1,14,0,Wed,220,20000.0,13.6,450.0
2,29,3,Fri,342,2000.0,15.4,445.0
1,12,0,Mon,356,24345.3,13.6,520.0
6,67,1,Thu,732,800.0,1.6,450.0
1,16,0,Mon,151,10000.0,11.2,315.31
0,06,1,Thu,562,5000.0,4.53,150.0
1,12,0,Mon,356,24000.0,13.6,520.0
2,24,1,Wed,473,24980.0,13.6,610.0
1,12,3,Fri,366,904.0,6.0,250.0
8,89,1,Wed,436,5000.0,3.3,187.5
5,57,1,Mon,514,13200.0,13.6,730.0
1,14,3,Fri,550,7874.0,13.6,585.0
4,45,2,Tue,743,19594.0,6.0,925.0
8,89,4,Fri,535,300.0,1.0,295.0
1,15,1,Tue,727,3886.0,13.6,950.0
2,28,1,Thu,292,5000.0,6.8,290.0
7,77,1,Thu,156,23000.0,13.6,350.0
6,66,1,Wed,368,8000.0,13.6,820.0
0,01,1,Mon,234,19250.0,13.6,345.0
8,89,1,Tue,685,24000.0,9.6,750.0
6,66,2,Tue,1148,16382.0,13.2,1500.0
3,33,1,Wed,522,23600.0,13.6,650.0
7,76,1,Thu,545,20000.0,13.6,745.0
4,47,1,Thu,590,2940.0,9.2,485.0
0,06,1,Mon,588,7500.0,6.8,175.0
0,02,1,Mon,30,16896.0,13.6,930.0
8,80,2,Mon,751,11077.0,7.6,525.0
3,31,1,Tue,495,24565.0,13.6,600.0
6,64,1,Mon,255,1442.0,2.0,250.0
7,70,1,Thu,137,1851.0,3.2,180.0
0,06,1,Mon,375,2000.0,6.0,350.0
3,31,1,Wed,346,22000.0,13.6,460.0
3,39,1,Wed,561,5191.0,4.0,296.67
2,22,1,Wed,326,13000.0,8.0,350.0
2,23,1,Mon,302,3500.0,2.4,125.0
2,27,4,Thu,935,300.0,9.6,1000.0
8,89,1,Wed,28,21890.0,13.6,590.0
3,31,3,Fri,303,24000.0,13.6,400.0
9,99,1,Thu,345,2000.0,1.6,250.0
2,22,1,Thu,318,3436.0,1.6,91.67
3,33,1,Mon,425,2800.0,13.6,600.0
3,31,1,Wed,290,24337.0,13.6,410.0
7,74,1,Wed,568,1500.0,3.5,250.0
7,73,1,Wed,693,7130.0,6.4,400.0
0,01,3,Fri,616,1000.0,5.4,595.0
1,14,1,Fri,276,23000.0,13.6,295.0
0,03,1,Mon,524,4100.0,2.0,380.0
8,89,1,Tue,35,24706.0,13.6,560.0
1,19,1,Mon,202,25000.0,13.6,275.0
1,12,1,Tue,412,25000.0,13.6,650.0
2,22,1,Wed,318,9396.0,7.6,200.0
2,24,1,Tue,554,10000.0,8.0,385.0
0,06,2,Tue,766,743.8,1.2,290.0
0,09,3,Fri,217,7123.0,5.2,270.0
1,16,1,Mon,517,24000.0,13.6,700.0
1,12,0,Tue,356,24000.0,13.6,520.0
2,23,1,Tue,480,1202.0,4.5,250.0
5,51,1,Wed,320,15000.0,12.0,550.0
8,87,1,Mon,358,1860.0,2.1,210.0
5,53,1,Mon,491,12433.0,6.0,433.33
0,06,1,Mon,215,18000.0,13.6,670.0
7,75,1,Tue,657,900.0,2.8,375.0
9,90,1,Wed,507,5409.0,10.4,325.0
3,38,3,Fri,581,5000.0,6.8,350.0
0,03,1,Mon,573,24000.0,13.6,500.0
8,85,2,Wed,180,15000.0,13.6,400.0
2,26,1,Wed,438,20000.0,13.6,550.0
5,50,3,Fri,198,12980.0,13.6,580.0
2,25,1,Tue,347,18000.0,13.6,470.0
5,50,1,Thu,198,13555.0,10.8,580.0
6,63,1,Tue,366,600.0,6.5,480.0
0,04,1,Tue,275,23100.0,13.6,480.0
9,99,1,Mon,473,11960.0,8.0,390.0
9,90,1,Mon,455,3871.0,2.4,157.5
8,86,1,Wed,608,6370.0,4.4,300.0
0,06,1,Tue,332,8000.0,4.5,233.33
9,90,1,Wed,482,19844.0,13.6,560.0
3,35,1,Thu,384,650.0,3.0,250.0
